time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,2.38135494698544e-09,0,2.27780042036207e-09,1.97920822752397e-06,2.12495889117582e-09,3.60153537642195e-06,4.28609211893095e-09,6.42709665859018e-06,1.94820011780947e-09,4.8451226419952e-06,6.4022751860602e-09,1.0535939663811e-05,2.32335270062976e-09,2.64788488544013e-06,8.83575881071587e-09,9.85441024045094e-06,2.00532265043397e-09,-5.17520205181551e-06,7.97635594534167e-09,-2.58117986032595e-06,-6.31064658895874e-09,-2.12505206496462e-05,-1.23429866956211e-08,-3.57717616528047e-05,-4.03217687110876e-08,-4.65146013838847e-05,-8.65965537088353e-08,-9.7160318358067e-05,-1.13207160140942e-07,-7.60264806853363e-05,-2.35810217894495e-07,-0.000183748904841769,-1.7219753928121e-07,-9.26619541924393e-05
0.004,0,0,5.46761776872017e-08,0,4.96300663321364e-08,1.34780068905778e-05,4.33448145712903e-08,2.30809457384028e-05,9.19609136380909e-08,3.82376300757975e-05,4.45463320774527e-08,2.23204917127631e-05,1.43860468465447e-07,4.94008113955787e-05,5.53492104217736e-08,-4.61453409932885e-06,1.77934470182222e-07,1.93872374004662e-05,-1.44531918916244e-08,-6.02800628930331e-05,2.69588002511942e-08,-8.03036963525439e-05,-3.48307418942834e-07,-0.000143040868459349,-6.65473936707838e-07,-0.000272027177100909,-1.10632051765115e-06,-0.000241309971108304,-2.28418762565772e-06,-0.000559703258171589,-2.13126222790468e-06,-0.000329455600594709,-4.78637109708028e-06,-0.000914738968975077,-2.72343252826846e-06,-0.000368786903813507
0.006,0,0,2.59619999397048e-07,0,2.34764069533219e-07,2.94806506068082e-05,2.09976955629601e-07,4.62429471045517e-05,4.60623868134059e-07,6.73208133874789e-05,2.48252001356957e-07,1.71383429629585e-05,6.87744671055625e-07,4.03830603042295e-05,1.25407040780579e-07,-8.18055936859223e-05,4.24639039184111e-07,-0.00011509313752436,-8.57901606550644e-07,-0.000236801931832951,-1.54032532055388e-06,-0.000443994802588602,-3.3373353069161e-06,-0.000423806756854987,-6.73894781942199e-06,-0.000962391664917512,-7.21909981395715e-06,-0.000609676209652021,-1.60548281304251e-05,-0.001649961957703,-1.12790402577909e-05,-0.000755230310992667,-2.86203003427502e-05,-0.00244455240181332,-1.33091335870807e-05,-0.00081548186511483
0.008,0,0,5.37748640510458e-07,0,5.36946902608007e-07,8.40272202237827e-06,5.32174772296941e-07,-6.98394630972758e-07,1.01832073511142e-06,-3.56074140901309e-05,3.1993831456892e-07,-0.000103665390261905,7.46271068380189e-07,-0.000228808638465091,-1.21510405184888e-06,-0.000295839597587767,-2.36509792314071e-06,-0.000648653976283564,-5.57249194609389e-06,-0.000551794640246,-1.16300993010366e-05,-0.00134202667708725,-1.35274697790385e-05,-0.000836413820665483,-3.03536971767468e-05,-0.00231701808329534,-2.41599803504734e-05,-0.00110737475775181,-5.98293471168981e-05,-0.00353551182604648,-3.43351069890044e-05,-0.00131420336870613,-9.71985634464609e-05,-0.00490422052226975,-3.90660540529775e-05,-0.00139728993699222
0.01,0,0,1.16727074895433e-06,0,1.01947777605081e-06,-7.67421192548158e-05,6.39020372381823e-07,-0.000164499458109604,6.1261115300961e-07,-0.000350911755099595,-1.93307920223509e-06,-0.000394639067329487,-4.09921696284306e-06,-0.000886753631132166,-8.26975999318232e-06,-0.000686692265794515,-1.77581997310925e-05,-0.0017409518972876,-2.00432254969636e-05,-0.00102820082430345,-4.62158222942285e-05,-0.00295070837981266,-3.77627137823626e-05,-0.00139173591064179,-9.45965289628201e-05,-0.00451676285024489,-5.92260631976063e-05,-0.00173177542605693,-0.000164021022009476,-0.00638637446039473,-7.86171548590627e-05,-0.00198789092897431,-0.000248287981754451,-0.00844144908189775,-8.74202936172427e-05,-0.00209037095627655
0.012,0,0,2.73310579423854e-06,0,1.66084156624868e-06,-0.000201084910464362,-5.47214628143853e-07,-0.000405577279098954,-3.51188369601632e-06,-0.000817965364601455,-1.10930787977519e-05,-0.000831492138169991,-2.32647363249495e-05,-0.00186999989868081,-2.98285583100242e-05,-0.00127496292442189,-6.60307231591057e-05,-0.00337061138621089,-5.70673965161214e-05,-0.0017262485220391,-0.000139862210738091,-0.00531858365447742,-9.15534235201712e-05,-0.00216537059521428,-0.000250281633591057,-0.00768646863779028,-0.000129277632292676,-0.00255922759792104,-0.000396865571729548,-0.0104049265308213,-0.000162143950096372,-0.00285582672134495,-0.00056865763625039,-0.0133398503247264,-0.00017725295786987,-0.00297670863569873
0.014,0,0,4.58324127276981e-06,0,1.29320557982268e-06,-0.000350639469844264,-5.17709597238937e-06,-0.000697851718487278,-1.64819640180199e-05,-0.00138888315127803,-3.3284795953358e-05,-0.00137508985225136,-7.07836027399003e-05,-0.00309295683493604,-7.78675975977542e-05,-0.0020285749505652,-0.000176839553444737,-0.00543540570743351,-0.000136232539936685,-0.00264993477326035,-0.000346418965639589,-0.0083768158251927,-0.00020394528875722,-0.00322274927352245,-0.000585275157973677,-0.0118543542978233,-0.000273042333182873,-0.00371512316066703,-0.000888506841413064,-0.015762274173962,-0.000329931027592885,-0.00407229392001457,-0.00123459536348343,-0.0199274374647438,-0.000355202993275017,-0.00421396213676347
0.016,0,0,6.39190135781142e-06,0,-1.00916287225748e-06,-0.000525238907780755,-1.53224964192116e-05,-0.00104008970463542,-4.34395362727868e-05,-0.00206027988855492,-7.53591486506823e-05,-0.0020204387201286,-0.000162325597611308,-0.00454727437595343,-0.000167157304770548,-0.00294392452950279,-0.000385974687073906,-0.0079269483766279,-0.000283443196666516,-0.00380324081214732,-0.000733778144419558,-0.0121241724328213,-0.000413128855928226,-0.00457315311430651,-0.00121098217750262,-0.0170288395664247,-0.000538777369048504,-0.0052092862422904,-0.00180200877790914,-0.0224779458981581,-0.000636321120115248,-0.00565042714531708,-0.00246459037568169,-0.0282386096355142,-0.000677010328056382,-0.00581777561442042
0.018,0,0,8.42129864056507e-06,0,-6.0923152619724e-06,-0.000735060140147621,-3.40121853921699e-05,-0.00145345656245673,-9.24774320273178e-05,-0.0028741376073966,-0.000149567756195399,-0.00280817617578039,-0.000324073406025008,-0.00631667680756907,-0.000321497452097326,-0.00405824222413791,-0.000747834149785523,-0.0109494847937245,-0.000530294751793051,-0.00518454481457446,-0.00138898063935716,-0.0166344811151066,-0.000751803078090873,-0.00615658882394153,-0.00224577221274456,-0.023197021806892,-0.000956098260290414,-0.00693116720216587,-0.00328346910842154,-0.0304115518654193,-0.00110732165874274,-0.00744952817227423,-0.00442988963561117,-0.0379868904508199,-0.00116750064778661,-0.00763999389122963
0.02,0,0,9.95276408912798e-06,0,-1.75543469140047e-05,-0.00101026126195975,-6.9445778851314e-05,-0.00198584483368412,-0.000181022570259267,-0.00390422463518352,-0.000274878036522833,-0.00376909122431385,-0.000595394962510799,-0.00848292359319643,-0.000564699850108637,-0.00535539699484206,-0.00132552435448033,-0.0145473915109366,-0.000899862502227281,-0.00673830681051181,-0.00239672628687188,-0.0218845667117906,-0.00123980076303983,-0.00789582504150133,-0.00379199851025567,-0.0302518374833428,-0.00154043101746759,-0.00879138686191534,-0.0054489652747925,-0.0393640700586741,-0.00175548395448168,-0.00937666301281479,-0.00725889590941435,-0.048880944601646,-0.00183899530276551,-0.00958867746782863
0.022,0,0,1.1912225677475e-05,0,-3.58651976652355e-05,-0.00132968629144747,-0.000124548015498887,-0.00260099529812505,-0.000316325781277609,-0.0050886649710753,-0.000462236905647082,-0.00486204176447202,-0.000998457536477546,-0.0109469472770541,-0.000915172462453697,-0.00680250904200156,-0.00216159595476975,-0.0185914876240409,-0.00141371111601496,-0.00843606886548026,-0.00382121856697064,-0.0277177575871316,-0.00189880897912576,-0.00976509474983351,-0.00593626534418679,-0.0380153103448439,-0.00231537474884828,-0.0107742321507582,-0.00841021560620586,-0.0491469794180602,-0.00260712100949944,-0.01142493492776,-0.0110899718297266,-0.0607260400734099,-0.00271822974312781,-0.0116577329791226
0.024,0,0,1.34900626425146e-05,0,-6.03387944911398e-05,-0.00165200139015451,-0.000196599636856881,-0.00322595637948957,-0.000493859599626696,-0.00629995192239239,-0.00070793373510744,-0.00599602981449055,-0.00152857979924333,-0.0134996934457762,-0.00137800473088961,-0.00833306306972131,-0.00326453892714551,-0.0228283513109986,-0.00209382653923711,-0.0102568499967438,-0.00570154729037925,-0.0338804642049719,-0.00276696760378893,-0.0117814824952896,-0.00875992502016945,-0.0462589407267466,-0.00332547573878412,-0.0129083985506137,-0.0122929343393674,-0.0595591138665495,-0.00370611875985243,-0.0136200123895759,-0.0160925933512568,-0.0733462099143614,-0.00384900697438863,-0.0138722693505745
0.026,0,0,1.23320705650077e-05,0,-9.20019557039917e-05,-0.00196377997839786,-0.000284346179453171,-0.00383354106344841,-0.000709939025488089,-0.00748345694310638,-0.00100374060871649,-0.00711645457747229,-0.00217153520575928,-0.0160220953182904,-0.00194162830896525,-0.00987565827270157,-0.00461114090361751,-0.0270675569565664,-0.00293579865398119,-0.0121331042342101,-0.00801852444920867,-0.0401257957517542,-0.00385831130212764,-0.0139028671241761,-0.0122698577851378,-0.0547126128603234,-0.00460891668984384,-0.015190190594937,-0.0171519104975407,-0.0703425991666554,-0.00510769663585412,-0.0159861006180581,-0.0223788577154668,-0.0865115311410365,-0.00528896521759449,-0.0162614618677076
0.028,0,0,1.16325834184883e-05,0,-0.000126815011462214,-0.00226247477479997,-0.000382526943509102,-0.00441928597788106,-0.000954182145921752,-0.00863075997496249,-0.00134238876435453,-0.00821536641678056,-0.00290854105637879,-0.0184921973992725,-0.00259597194172878,-0.0114087467392864,-0.00616955845791626,-0.0312534437908967,-0.00392317090158651,-0.0140178412366254,-0.0107205821743208,-0.0463378342059347,-0.00515031701792796,-0.0160565453204883,-0.0163901165387146,-0.0631772977976618,-0.00613973393394321,-0.0175272067936847,-0.0228841409928107,-0.0811998092184089,-0.00678408621233581,-0.0184204486978529,-0.0298179398274279,-0.0998208378143267,-0.00701030770359704,-0.0187216172406742
0.03,0,0,1.0989238976308e-05,0,-0.000166100029265245,-0.00255892985151991,-0.000493483486176819,-0.00499980853482263,-0.00122995776148232,-0.00976673727454557,-0.00172468516576156,-0.00930143270425788,-0.00374082838441121,-0.0209353526161724,-0.00333533941829501,-0.012923973963964,-0.00792994308702439,-0.035391911411558,-0.00503781018482082,-0.0158782973844816,-0.0137675966719738,-0.052470260728649,-0.00659770855049506,-0.0181678192158888,-0.0210163658226682,-0.0715068743759916,-0.00783465738039412,-0.0197955760470589,-0.0292865274693999,-0.0918427038234963,-0.00862425940512871,-0.0207672609122521,-0.038090908144275,-0.112824856945468,-0.00889567134381339,-0.0210894297234534
0.032,0,0,8.61266791975469e-06,0,-0.000212229309085457,-0.00285769823178953,-0.000620529930425613,-0.00558396651286101,-0.00154353181474212,-0.0109058953017696,-0.00215380148411352,-0.0103825681071915,-0.00467204262435961,-0.0233637474141301,-0.00414802298884013,-0.0144047432660316,-0.00986919181529221,-0.0394599131733048,-0.006236624996039,-0.0176611642687836,-0.0170788368640142,-0.0584351726723972,-0.00813129397865773,-0.0201652191783797,-0.0259942087079026,-0.0795441627369569,-0.00961838163470838,-0.0219309356037815,-0.0361307882837185,-0.102056141282188,-0.0105560191484341,-0.0229742529938784,-0.0468980709374969,-0.125258941501733,-0.0108736557359301,-0.0233165250989593
0.034,0,0,8.58215053328958e-06,0,-0.000259728515648592,-0.00314941255330015,-0.000755036102371159,-0.00615119717873817,-0.00187414976352101,-0.0120072304074748,-0.00260694080198554,-0.0114181334041095,-0.00565182913376895,-0.0256938553803139,-0.00499922689658605,-0.0158108319703639,-0.0119010764038054,-0.0433424493708351,-0.00748418142008215,-0.019345119492952,-0.0205338617543778,-0.0641050171649006,-0.00971726162072947,-0.0220427956082288,-0.0311677783420902,-0.0871580355225344,-0.0114534114490891,-0.0239307919695444,-0.0432219136228355,-0.111706601089587,-0.0125390397628535,-0.0250389248568993,-0.0560036299166768,-0.136986651778233,-0.0129034383254017,-0.025399732558596
0.036,0,0,8.01142335247438e-06,0,-0.00030629379168627,-0.00340876150574435,-0.000886682338598244,-0.00665848726399327,-0.00220010109528548,-0.0129974419593194,-0.00305671478638432,-0.0123599922700763,-0.00662716685090241,-0.0278106188375869,-0.00585570862125181,-0.0171087062940141,-0.0139410659667019,-0.0469009859954928,-0.00875199666450354,-0.0209170519969798,-0.0240244205965964,-0.0693383187956925,-0.0113368677484484,-0.0238071374906836,-0.0364136577611139,-0.0942201011183608,-0.0133265258868065,-0.0258124174546302,-0.0504217907454646,-0.120682959053764,-0.0145563548041155,-0.0269775288488231,-0.0652510137019108,-0.147912445293868,-0.0149658495231061,-0.0273544211302244
0.038,0,0,5.17057170899294e-06,0,-0.000350387388362592,-0.00362636393901261,-0.00100871304767433,-0.00708963163257143,-0.00250634519751483,-0.0138478327395814,-0.0034828072686632,-0.0131868384020807,-0.00755641792458623,-0.0296631899655757,-0.00668490638702091,-0.0182756065046862,-0.0159103375598368,-0.0500620369225063,-0.00999943533914425,-0.0223551734068552,-0.0274312706105413,-0.0740430883483041,-0.0129522195170051,-0.0254446845553581,-0.0415822756981575,-0.100633477164369,-0.0152171698199561,-0.0275812525532373,-0.0575717896760885,-0.128904880746891,-0.0166090592974305,-0.0288161612931133,-0.0744867532489985,-0.157985885561458,-0.0170672567386661,-0.0292118319057592
0.04,0,0,5.44522022141529e-06,0,-0.000388068848682076,-0.00381553011944334,-0.0011178387433547,-0.00746309054691551,-0.00278149812859752,-0.0145843614243251,-0.0038713103954535,-0.0139028868826869,-0.0084054635190414,-0.0312731850824182,-0.0074559625314253,-0.0193004453552022,-0.017739278813267,-0.0528339217400731,-0.011188236557806,-0.0236457905777723,-0.0306459745511053,-0.0782149116714636,-0.0145238665994097,-0.0269431745665729,-0.0465231634977063,-0.106379334307704,-0.0170791373689862,-0.0292190237088671,-0.0644687064073436,-0.136329290197163,-0.0186380971198796,-0.0305249520174314,-0.0834457508722396,-0.167131607822922,-0.019144920132763,-0.0309388220989196
0.042,0,0,4.90873584124013e-06,0,-0.000423210039281196,-0.00398032046334738,-0.00121867337690662,-0.00779005567311919,-0.00303693055101292,-0.0152312010282412,-0.00423256287654872,-0.0145357013107982,-0.00919520964954848,-0.0326929371197871,-0.00817397674458254,-0.0202074528964906,-0.019441161607425,-0.0552813413135168,-0.0122948286192586,-0.0247869052683044,-0.0336392546465914,-0.0819008001330944,-0.0159905979319,-0.0282700950315328,-0.0511302108944191,-0.111460949316595,-0.0188224597752528,-0.0306731967996974,-0.0709092624157104,-0.142903049993858,-0.0205417287021761,-0.032045450626803,-0.0918215484424257,-0.175237589611322,-0.0210950027261648,-0.0324763170996919
0.044,0,0,2.97641859123868e-06,0,-0.000457550768167782,-0.00412886539777261,-0.00131458304559348,-0.00808487446567588,-0.00327889818535221,-0.0158135693180818,-0.00457160362982603,-0.0151038610604823,-0.00993602340882556,-0.0339660728014757,-0.00884116257630861,-0.0210140308404587,-0.0210227835966729,-0.0574611648413307,-0.0133067019782067,-0.025785214326155,-0.0363893545975525,-0.0851531486013806,-0.0173053926665811,-0.0294084724259515,-0.0553160202828593,-0.115901940572306,-0.0203650634934934,-0.0319048628772882,-0.0767135129060199,-0.148604698329067,-0.0222198749645814,-0.0333283265977609,-0.0993316397341668,-0.182231952065034,-0.0228139656807137,-0.0337736051370739
0.046,0,0,4.29018183891169e-06,0,-0.000488305778625983,-0.00426995265000093,-0.0014046831808558,-0.00836019221041556,-0.00350295925654149,-0.016350212917883,-0.00488411305669252,-0.0156127196532154,-0.0106125848063422,-0.0351105550289206,-0.00943916968417458,-0.0217137657330078,-0.0224443587766827,-0.0593829899112713,-0.0141956952033401,-0.0266331210467499,-0.0388300176776193,-0.0879789855353608,-0.018444603048482,-0.0303612275893481,-0.0589907057037723,-0.119714652408498,-0.0216802126673303,-0.0329191046762385,-0.0817575775357159,-0.15344796206615,-0.0236315063671761,-0.0343710413931779,-0.105807805574968,-0.188123674237904,-0.0242564975998308,-0.0348250078454174
0.048,0,0,3.88360126135418e-06,0,-0.000517762086084351,-0.00439387199786942,-0.00148750164932821,-0.00860107183764933,-0.00370622952872963,-0.0168167701475269,-0.00516166157352696,-0.0160493668649909,-0.0112115491830974,-0.0360920959218994,-0.00995569317005618,-0.0222995754248126,-0.023677620460188,-0.0610068302561823,-0.0149434563135281,-0.0273254083454849,-0.0409113271667206,-0.0903337512216369,-0.0193855361917065,-0.031126166105031,-0.0620897393640462,-0.122860887747149,-0.0227665033755858,-0.0337339574552503,-0.0859931641626686,-0.15742606913303,-0.0248084340888855,-0.0352165442730591,-0.111240029482147,-0.192953953480572,-0.0254627848800539,-0.0356804389911346
0.05,0,0,3.41458615226944e-06,0,-0.000540171088805677,-0.00448535298501436,-0.0015508878259294,-0.00878077161439682,-0.00386399510792371,-0.0171679734293299,-0.00538005960958645,-0.0163843622054101,-0.0116840658779099,-0.0368426772213677,-0.0103694608421504,-0.0227576120361542,-0.0246610200443894,-0.0622626609961854,-0.0155480923483995,-0.0278725645950644,-0.0425824706505849,-0.092169150553185,-0.0201501038001077,-0.0317340534291265,-0.0645878047207573,-0.12532532517629,-0.0236482570692366,-0.034381055799527,-0.0894123063045803,-0.160550263974033,-0.0257611682084206,-0.0358864979536184,-0.115627709588896,-0.196753261715344,-0.0264392190339233,-0.0363581331578359
0.052,0,0,4.40491324675773e-06,0,-0.000553188355163771,-0.00454287950959699,-0.00159025927191548,-0.00889412646024169,-0.00396395630507877,-0.0173918399962066,-0.00552337763254568,-0.0166025867503091,-0.0119977906167743,-0.0373343874310676,-0.0106588357757326,-0.023073776716272,-0.0253452656494557,-0.0631149379843663,-0.0159998377383174,-0.0282747932444303,-0.0437937637329345,-0.0934579648385259,-0.0207468592908955,-0.0322005270207377,-0.0664505485031297,-0.127101409895944,-0.0243461911847465,-0.0348848212016566,-0.0920033695339364,-0.162839504877399,-0.0265128739096354,-0.0364064642150716,-0.118981902914778,-0.199565765825812,-0.027208344108468,-0.0368831830454076
0.054,0,0,3.50988853557599e-06,0,-0.000560501399429652,-0.00456937745250493,-0.00161060874865225,-0.00894891442476664,-0.00401785833657822,-0.0175039488057528,-0.00560230780351696,-0.0167198315543193,-0.0121737554017248,-0.0375961907942609,-0.0108284338350286,-0.0232560268585983,-0.0257450059769052,-0.0635911573322907,-0.0162799698135259,-0.0285209630071714,-0.0445320190387858,-0.0942108110997588,-0.0211435547399742,-0.0325067164443702,-0.0676400342466321,-0.12818717055312,-0.0248482689528863,-0.0352423468124667,-0.0937341734770768,-0.164301420309638,-0.027085833278633,-0.0367974286524605,-0.121300120869195,-0.201425159869101,-0.0278022377596407,-0.0372835313070604
0.056,0,0,4.00754809285045e-06,0,-0.00056100653498006,-0.00457368532781513,-0.00161369740579106,-0.00895916795771413,-0.00402861294573429,-0.0175281235386185,-0.00562269975123021,-0.0167511965998303,-0.0122220020027688,-0.0376668146112909,-0.0108867248283842,-0.0233192332366391,-0.0258800461158051,-0.0637448804793131,-0.0163989105178913,-0.0286253703187965,-0.0448240625981214,-0.0944921103696633,-0.0213401687671805,-0.0326576337710498,-0.0681674436968853,-0.128640906405136,-0.0251197539518749,-0.0354343002082126,-0.0945600149630741,-0.164960908815526,-0.0274053669500148,-0.0370136731155619,-0.122454795952599,-0.202305317416073,-0.0281353308743147,-0.0375062000766102
0.058,0,0,4.87114421547971e-06,0,-0.000557399768871246,-0.00456261943406491,-0.00160508134928757,-0.00893760518964535,-0.00400842630533451,-0.0174874994575785,-0.00559798762613316,-0.0167155709874353,-0.0121714977069432,-0.0375894196021798,-0.0108532055079863,-0.0232839263487975,-0.0257984265608088,-0.0636377829672169,-0.0163723802186575,-0.0286023977588223,-0.0447227266169562,-0.0943689060123817,-0.0213271216099601,-0.0326476391203835,-0.0680580655562827,-0.128511728950465,-0.0251156459716321,-0.03543136297946,-0.0944489925289775,-0.164830630599456,-0.0274059658154723,-0.0370141801037029,-0.122346179291056,-0.202176717972374,-0.02813892281931,-0.037508589753079
0.06,0,0,3.80219769408198e-06,0,-0.000552808963892235,-0.00453970027620505,-0.00159025049919878,-0.00889366682966747,-0.00397150464754723,-0.0174021039659571,-0.00554499839140678,-0.0166349827292504,-0.0120548156339036,-0.0374048058315808,-0.0107436036769682,-0.0231654173962227,-0.0255374860429107,-0.0633147736168985,-0.016192391056309,-0.0284445793146177,-0.0442475710391466,-0.0938715518876614,-0.0210812287406049,-0.0324589937990263,-0.0673130613881476,-0.127816563686089,-0.0248263708054166,-0.0352269439973714,-0.0934040933635907,-0.163928626975771,-0.0270990038453408,-0.0368063491192378,-0.120992267205892,-0.201067304576795,-0.0278291764933172,-0.0373015719927524
0.062,0,0,5.35918546067032e-06,0,-0.00054463818225926,-0.00451199664771529,-0.00156788206263396,-0.00883429373326388,-0.0039102899646612,-0.0172774776764815,-0.0054534030180093,-0.0164987239882825,-0.0118498391999146,-0.0371035392890008,-0.0105427491425591,-0.0229489529208531,-0.0250684934170243,-0.062759888392341,-0.0158641695361711,-0.0281556547545319,-0.0433882375593091,-0.0929972084078282,-0.0206319148467252,-0.0321119368834267,-0.0659557952040373,-0.126574457946971,-0.0242863590687544,-0.034842189640689,-0.0914793122459874,-0.162292013397792,-0.0265112077311312,-0.0364053221539395,-0.118472034492168,-0.19902789218272,-0.0272306126151057,-0.0368982390289917
