time,Ft
0,0
0.002,-0.00837748241477061
0.004,-0.0167543768689814
0.006,-0.0251300954433375
0.008,-0.0335040503010715
0.01,-0.0418756537291996
0.012,-0.0502443181797695
0.014,-0.0586094563110965
0.016,-0.0669704810289849
0.018,-0.0753268055279327
0.02,-0.0836778433323155
0.022,-0.0920230083375472
0.024,-0.100361714851215
0.026,-0.108693377634185
0.028,-0.117017411941677
0.03,-0.125333233564304
0.032,-0.133640258869072
0.034,-0.141937904840344
0.036,-0.150225589120757
0.038,-0.158502730052093
0.04,-0.166768746716102
0.042,-0.175023058975276
0.044,-0.18326508751356
0.046,-0.191494253877013
0.048,-0.199709980514407
0.05,-0.207911690817759
0.052,-0.216098809162802
0.054,-0.224270760949381
0.056,-0.232426972641784
0.058,-0.240566871808992
0.06,-0.248689887164855
0.062,-0.256795448608188
0.064,-0.264882987262781
0.066,-0.272951935517325
0.068,-0.281001727065251
0.07,-0.289031796944472
0.0720000000000001,-0.297041581577035
0.0740000000000001,-0.305030518808678
0.0760000000000001,-0.312998047948278
0.0780000000000001,-0.32094360980721
0.0800000000000001,-0.328866646738583
0.0820000000000001,-0.336766602676388
0.0840000000000001,-0.344642923174517
0.0860000000000001,-0.352495055445679
0.0880000000000001,-0.360322448400195
0.0900000000000001,-0.368124552684678
0.0920000000000001,-0.375900820720587
0.0940000000000001,-0.383650706742657
0.0960000000000001,-0.391373666837203
0.0980000000000001,-0.399069158980295
0.1,-0.4067366430758
0.102,-0.414375580993284
0.104,-0.421985436605783
0.106,-0.429565675827428
0.108,-0.437115766650933
0.11,-0.444635179184928
0.112,-0.452123385691151
0.114,-0.459579860621488
0.116,-0.467004080654856
0.118,-0.47439552473393
0.12,-0.481753674101716
0.122,-0.489078012337957
0.124,-0.496368025395377
0.126,-0.503623201635761
0.128,-0.51084303186586
0.13,-0.518027009373131
0.132,-0.525174629961296
0.134,-0.532285391985734
0.136,-0.539358796388684
0.138,-0.546394346734269
0.14,-0.553391549243344
0.142,-0.560349912828145
0.144,-0.567268949126757
0.146,-0.57414817253739
0.148,-0.58098710025246
0.15,-0.587785252292473
0.152,-0.594542151539713
0.154,-0.601257323771727
0.156,-0.607930297694606
0.158,-0.614560604976065
0.16,-0.621147780278311
0.162,-0.627691361290701
0.164,-0.63419088876219
0.166,-0.640645906533562
0.168,-0.647055961569445
0.17,-0.653420603990106
0.172,-0.659739387103026
0.174,-0.666011867434252
0.176,-0.672237604759516
0.178,-0.678416162135139
0.18,-0.684547105928689
0.182,-0.690630005849423
0.184,-0.696664434978481
0.186,-0.70264996979885
0.188,-0.708586190225087
0.19,-0.714472679632804
0.192,-0.720309024887907
0.194,-0.726094816375592
0.196,-0.731829648029092
0.198,-0.737513117358174
0.2,-0.743144825477395
0.202,-0.748724377134086
0.204,-0.754251380736104
0.206,-0.759725448379305
0.208,-0.765146195874775
0.21,-0.77051324277579
0.212,-0.77582621240452
0.214,-0.781084731878464
0.216,-0.786288432136619
0.218,-0.791436947965386
0.22,-0.796529918024197
0.222,-0.801566984870877
0.224,-0.806547794986733
0.226,-0.811471998801361
0.228,-0.816339250717184
0.23,-0.821149209133704
0.232,-0.825901536471479
0.234,-0.830595899195813
0.236,-0.835231967840168
0.238,-0.839809417029283
0.24,-0.844327925502015
0.242,-0.848787176133882
0.244,-0.853186855959321
0.246,-0.857526656193653
0.248,-0.861806272254755
0.25,-0.866025403784439
0.252,-0.870183754669526
0.254,-0.874281033062634
0.256,-0.878316951402658
0.258,-0.882291226434954
0.26,-0.886203579231215
0.262,-0.890053735209053
0.264,-0.893841424151264
0.266,-0.897566380224798
0.268,-0.901228341999412
0.27,-0.90482705246602
0.272,-0.908362259054731
0.274,-0.911833713652576
0.276,-0.915241172620918
0.278,-0.918584396812554
0.28,-0.921863151588501
0.282,-0.925077206834458
0.284,-0.928226336976964
0.286,-0.931310320999221
0.288,-0.934328942456612
0.29,-0.937281989491892
0.292,-0.94016925485005
0.294,-0.942990535892865
0.296,-0.945745634613117
0.298,-0.948434357648493
0.3,-0.951056516295154
0.302,-0.953611926520976
0.304,-0.956100408978473
0.306,-0.958521789017376
0.308,-0.960875896696899
0.31,-0.963162566797658
0.312,-0.965381638833274
0.314,-0.96753295706163
0.316,-0.969616370495806
0.318,-0.971631732914674
0.32,-0.97357890287316
0.322,-0.975457743712173
0.324,-0.977268123568194
0.326,-0.97900991538253
0.328,-0.980682996910236
0.33,-0.982287250728689
0.332,-0.983822564245833
0.334,-0.985288829708079
0.336,-0.986685944207868
0.338,-0.988013809690895
0.34,-0.989272332962988
0.342,-0.990461425696651
0.344,-0.991581004437262
0.346,-0.992630990608929
0.348,-0.993611310520009
0.35,-0.994521895368273
0.352,-0.995362681245744
0.354,-0.996133609143173
0.356,-0.996834624954185
0.358,-0.997465679479078
0.36,-0.998026728428272
0.362,-0.99851773242542
0.364,-0.998938657010171
0.366,-0.999289472640589
0.368,-0.999570154695225
0.37,-0.999780683474845
0.372,-0.999921044203816
0.374,-0.999991227031138
0.376,-0.999991227031138
0.378,-0.999921044203816
0.38,-0.999780683474845
0.382,-0.999570154695225
0.384,-0.999289472640589
0.386,-0.998938657010171
0.388,-0.99851773242542
0.39,-0.998026728428271
0.392,-0.997465679479077
0.394,-0.996834624954185
0.396,-0.996133609143172
0.398,-0.995362681245744
0.4,-0.994521895368273
0.402,-0.993611310520008
0.404,-0.992630990608929
0.406,-0.991581004437261
0.408,-0.990461425696651
0.41,-0.989272332962988
0.412,-0.988013809690895
0.414,-0.986685944207868
0.416,-0.985288829708078
0.418,-0.983822564245832
0.42,-0.982287250728688
0.422,-0.980682996910235
0.424,-0.97900991538253
0.426,-0.977268123568193
0.428,-0.975457743712173
0.43,-0.97357890287316
0.432,-0.971631732914674
0.434,-0.969616370495806
0.436,-0.96753295706163
0.438,-0.965381638833274
0.44,-0.963162566797658
0.442,-0.960875896696898
0.444,-0.958521789017376
0.446,-0.956100408978472
0.448,-0.953611926520976
0.45,-0.951056516295153
0.452,-0.948434357648493
0.454,-0.945745634613116
0.456,-0.942990535892864
0.458,-0.94016925485005
0.46,-0.937281989491891
0.462,-0.934328942456612
0.464,-0.93131032099922
0.466,-0.928226336976963
0.468,-0.925077206834458
0.47,-0.9218631515885
0.472,-0.918584396812554
0.474,-0.915241172620917
0.476,-0.911833713652575
0.478,-0.90836225905473
0.48,-0.904827052466019
0.482,-0.901228341999411
0.484,-0.897566380224797
0.486,-0.893841424151263
0.488,-0.890053735209052
0.49,-0.886203579231214
0.492,-0.882291226434953
0.494,-0.878316951402657
0.496,-0.874281033062633
0.498,-0.870183754669525
0.5,-0.866025403784438
0.502,-0.861806272254754
0.504,-0.857526656193652
0.506,-0.85318685595932
0.508,-0.848787176133881
0.51,-0.844327925502014
0.512,-0.839809417029282
0.514,-0.835231967840167
0.516,-0.830595899195812
0.518,-0.825901536471478
0.52,-0.821149209133703
0.522,-0.816339250717183
0.524,-0.81147199880136
0.526,-0.806547794986732
0.528,-0.801566984870876
0.53,-0.796529918024195
0.532,-0.791436947965385
0.534,-0.786288432136618
0.536,-0.781084731878462
0.538,-0.775826212404518
0.54,-0.770513242775788
0.542,-0.765146195874773
0.544,-0.759725448379304
0.546,-0.754251380736103
0.548,-0.748724377134085
0.55,-0.743144825477393
0.552,-0.737513117358173
0.554,-0.73182964802909
0.556,-0.726094816375591
0.558,-0.720309024887906
0.56,-0.714472679632802
0.562,-0.708586190225085
0.564,-0.702649969798848
0.566,-0.69666443497848
0.568,-0.690630005849422
0.57,-0.684547105928688
0.572,-0.678416162135137
0.574,-0.672237604759515
0.576,-0.666011867434251
0.578,-0.659739387103025
0.58,-0.653420603990104
0.582,-0.647055961569443
0.584,-0.64064590653356
0.586,-0.634190888762189
