time,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10,Var11,Var12,Var13,Var14,Var15,Var16,Var17,Var18,Var19,Var20,Var21,Var22,Var23,Var24,Var25,Var26,Var27,Var28,Var29,Var30,Var31,Var32,Var33,Var34,Var35,Var36,Var37
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,0,0,1.61626910253575e-10,0,1.54598439285179e-10,5.15629008199553e-07,1.44224739088424e-10,9.38282707856362e-07,2.90904666690608e-10,1.67440695073259e-06,1.32227616707208e-10,1.26226763447166e-06,4.34533597825103e-10,2.74485829505345e-06,1.57689983647041e-10,6.89839876401592e-07,5.99698604662379e-10,2.56731150348211e-06,1.36105216962427e-10,-1.34824910895618e-06,5.41369859084217e-10,-6.72431670229918e-07,-4.28314585111806e-10,-5.53623043598934e-06,-8.37740999195486e-10,-9.31931530675218e-06,-2.73671263427007e-09,-1.21180883040052e-05,-5.87746655477384e-09,-2.53123989046225e-05,-7.68357573499421e-09,-1.98065860577983e-05,-1.60048658577269e-08,-4.78706445422727e-05,-1.16873539752733e-08,-2.41404901685803e-05
0.004,0,0,3.71517589782807e-09,0,3.37238834860385e-09,3.51288303178517e-06,2.94538774285376e-09,6.01596836846894e-06,6.24876398656199e-09,9.96690219882531e-06,3.02675765723769e-09,5.81894109276153e-06,9.77516639909735e-09,1.28786154737337e-05,3.76110084880469e-09,-1.19977899679884e-06,1.20920286012973e-08,5.05940424611857e-06,-9.78486104760024e-10,-1.57075556623048e-05,1.84013742852974e-09,-2.0920733612222e-05,-2.36572659798074e-08,-3.72799829843967e-05,-4.51989812760618e-08,-7.08918683889393e-05,-7.51635450973395e-08,-6.28986148916987e-05,-1.55186936589313e-07,-0.000145879794446478,-1.44826026112448e-07,-8.58820484050927e-05,-3.2522900375831e-07,-0.000238432822215554,-1.85083910614961e-07,-9.61393907164406e-05
0.006,0,0,1.76904473121801e-08,0,1.59965850377111e-08,7.69621797894234e-06,1.4306442079186e-08,1.20751751963924e-05,3.13828719023154e-08,1.75861101549928e-05,1.69127634458429e-08,4.49608924431025e-06,4.68723145458344e-08,1.05895745240587e-05,8.58813227458519e-09,-2.13056235987251e-05,2.90496283079719e-08,-2.99341272059498e-05,-5.82749237796288e-08,-6.17414767082794e-05,-1.04564734917422e-07,-0.000115710548035772,-2.27034384451117e-07,-0.000110546830124724,-4.58365042254715e-07,-0.000250952504334164,-4.91440644051874e-07,-0.000159076191318298,-1.09271035744567e-06,-0.000430373747245095,-7.68171115871553e-07,-0.000197095775421554,-1.9486098314307e-06,-0.000637754026973747,-9.06622361960759e-07,-0.00021283957389717
0.008,0,0,3.68702307047361e-08,0,3.68071832750566e-08,2.25361196232894e-06,3.64863279027214e-08,-7.34262462168939e-08,6.98994395387159e-08,-9.1004024866152e-06,2.21866755631612e-08,-2.69126884687221e-05,5.18654037118253e-08,-5.9395699438138e-05,-8.22071518536161e-08,-7.71102894514814e-05,-1.59625013964284e-07,-0.000168922545499666,-3.79400376087014e-07,-0.000144028398764256,-7.91222649556956e-07,-0.000349986224961721,-9.22853236525816e-07,-0.000218489106179478,-2.06941030778139e-06,-0.00060474618562743,-1.65007698105123e-06,-0.00028941548667641,-4.08334764301132e-06,-0.000923260014131577,-2.34666300239052e-06,-0.000343580944053017,-6.6378753606402e-06,-0.00128112082144149,-2.67082235168133e-06,-0.000365349848641388
0.01,0,0,8.04743675713746e-08,0,7.06172486631808e-08,-1.98391426026087e-05,4.50504215333084e-08,-4.26110190622742e-05,4.48696163255914e-08,-9.10503372191704e-05,-1.29384859365301e-07,-0.000102680843554688,-2.74062666113361e-07,-0.000230705035854444,-5.62056706771265e-07,-0.000179187947783996,-1.20538022762639e-06,-0.000453843885908887,-1.36920540481617e-06,-0.000268813818098219,-3.15266961061378e-06,-0.000770344863287623,-2.58696448852171e-06,-0.000364310318606495,-6.47032226113685e-06,-0.00118046812144256,-4.06428899775445e-06,-0.000453682927729637,-1.12372050646906e-05,-0.00167039042097337,-5.40037217036346e-06,-0.000521023409659417,-1.70271365058592e-05,-0.00220908315587264,-6.00744816327957e-06,-0.000547976388382742
0.012,0,0,1.89633432641731e-07,0,1.17751205602842e-07,-5.20917372950546e-05,-3.10587355830118e-08,-0.000105231476694551,-2.27411874280507e-07,-0.000212524597723281,-7.48591026358385e-07,-0.000216623136722957,-1.56964865188737e-06,-0.000487102605508673,-2.03466115518428e-06,-0.000333246442668447,-4.49715535194478e-06,-0.000879871561683223,-3.91611969204258e-06,-0.000452340765239086,-9.57525926176677e-06,-0.00139082480536278,-6.30768024229057e-06,-0.00056844557860045,-1.71937925456913e-05,-0.0020128493577775,-8.92941465386921e-06,-0.000672649858726518,-2.73268051631143e-05,-0.00272762100787787,-1.12152394691676e-05,-0.000751103539870888,-3.92131044831074e-05,-0.00349963542276556,-1.22662203854606e-05,-0.000783059012027191
0.014,0,0,3.23619601076044e-07,0,1.03098745218343e-07,-9.08325975934028e-05,-3.33391910637233e-07,-0.000181132396523368,-1.0886996474685e-06,-0.000361113364315177,-2.25345020964444e-06,-0.00035877131564983,-4.7928240729773e-06,-0.000806766771080077,-5.33644875113624e-06,-0.000531541538142142,-1.20938073706229e-05,-0.00142168264691397,-9.40917949557335e-06,-0.000696706163404303,-2.38418468948251e-05,-0.00219607173916511,-1.41616547383981e-05,-0.000849413994900624,-4.04599603610262e-05,-0.00311346138084961,-1.90246326982965e-05,-0.000980769035635024,-6.16102114678557e-05,-0.00414562685375033,-2.30297968069995e-05,-0.00107596079264922,-8.57768413243228e-05,-0.0052462999081656,-2.48081459148693e-05,-0.00111365064901236
0.016,0,0,4.64364735287898e-07,0,-3.19178454680867e-08,-0.000136110762439531,-9.9967499306313e-07,-0.000270212555746846,-2.88872459264692e-06,-0.000536439465894527,-5.12642203773435e-06,-0.000528457449431393,-1.10487425927074e-05,-0.00118892519727564,-1.15397414197101e-05,-0.000774311475820988,-2.65753829246735e-05,-0.00207995482085429,-1.9759387243445e-05,-0.00100467788171901,-5.09125787047558e-05,-0.00319058368646826,-2.89909390455157e-05,-0.00121178483567825,-8.44773393892076e-05,-0.00449159757636751,-3.79616355157012e-05,-0.00138298005703162,-0.000126169601877282,-0.00593902851654855,-4.49250200761813e-05,-0.00150148655986057,-0.000172967358416546,-0.00747005458452518,-4.78276531796435e-05,-0.00154631637345855
0.018,0,0,6.31765782638616e-07,0,-3.46798088154396e-07,-0.000191029931684155,-2.24788470866388e-06,-0.000378876533044164,-6.21743190067113e-06,-0.000751170435359804,-1.02724252119355e-05,-0.000737896558847917,-2.22800331970417e-05,-0.00165900549871943,-2.24426923687824e-05,-0.00107334485227332,-5.20483218616262e-05,-0.00288765075238962,-3.74267894394357e-05,-0.00137807568352285,-9.74882503990821e-05,-0.00440162749213086,-5.34529686838898e-05,-0.00164212361197313,-0.00015855954657358,-0.00615407463167863,-6.82791627691514e-05,-0.00185257756582122,-0.000232758129826292,-0.00808348602111037,-7.92461187971835e-05,-0.00199305303069277,-0.000314835414789741,-0.0101105189246206,-8.36056251359976e-05,-0.00204447461739677
